algorithm,purity,macro_f1,weighted_f1,accuracy,homogeneity,completeness,v_measure,nmi,ami,ari,fowlkes_mallows,bcubed_precision,bcubed_recall,bcubed_f1,divergence,runtime,params,method,dataset
iris_match_class_distribution_cfg12,0.7,0.5738095238095238,0.5650000000000001,0.6,0.47675404270353644,0.40072847277729695,0.43544780905019276,0.43544780905019276,0.3257313590298986,0.30446194225721784,0.4970674233862172,0.6095238095238096,0.5571428571428572,0.5821574344023324,0.39499999999999996,0.6470882892608643,"{'random_state': 42, 'n_estimators': 60, 'max_depth': None}",match_class_distribution,iris
iris_chimera_cfg12,0.65,0.652014652014652,0.6384615384615385,0.65,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.3940476786214541,0.3233082706766917,0.5263157894736841,0.5928571428571429,0.6142857142857143,0.6033812341504649,0.39,0.7040941715240479,"{'random_state': 42, 'n_estimators': 60, 'max_depth': None}",chimera,iris
iris_menu_cfg12,0.7,0.6666666666666666,0.653846153846154,0.65,0.5051042011935385,0.44661553861610975,0.4740626372180352,0.4740626372180352,0.3777175031201884,0.3281653746770026,0.5193205584696801,0.630952380952381,0.5857142857142856,0.6074923119932905,0.4125,0.6828444004058838,"{'random_state': 42, 'n_estimators': 60, 'max_depth': None}",menu,iris
iris_select_clusters_cfg13,0.9,0.660968660968661,0.6478632478632479,0.6,0.8257823716367598,0.5366590544738353,0.6505433235817821,0.6505433235817822,0.5234492337068893,0.4475920679886686,0.5906041055515311,0.8666666666666666,0.5571428571428572,0.6782608695652175,0.565,0.7174077033996582,"{'random_state': 42, 'n_estimators': 65, 'max_depth': 2}",select_clusters,iris
iris_balance_lists_n_clusters_cfg13,0.75,0.7606837606837606,0.7487179487179487,0.75,0.5843507657534138,0.5881970770475577,0.5862676128687435,0.5862676128687434,0.5342405361837702,0.4389027431421446,0.6087186665472194,0.6791666666666666,0.6857142857142857,0.6824247710423026,0.425,1.1835529804229736,"{'random_state': 42, 'n_estimators': 65, 'max_depth': 2}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg13,0.65,0.617933723196881,0.5988304093567252,0.65,0.5573237028426876,0.6802908963705185,0.6126983983809211,0.6126983983809211,0.5563431098963821,0.45434298440979953,0.6582155828679286,0.65,0.8285714285714286,0.7285024154589372,0.42000000000000004,1.0136771202087402,"{'random_state': 42, 'n_estimators': 65, 'max_depth': 2}",max_prob_clusters,iris
iris_match_class_distribution_cfg13,0.75,0.5904761904761905,0.5800000000000001,0.6,0.6077138000793381,0.4601528318404692,0.5237381105397068,0.5237381105397068,0.40458212441650004,0.36314363143631434,0.5313874275536371,0.6952380952380952,0.5571428571428572,0.6185768604019555,0.44249999999999995,0.7207496166229248,"{'random_state': 42, 'n_estimators': 65, 'max_depth': 2}",match_class_distribution,iris
iris_chimera_cfg13,0.75,0.7606837606837606,0.7487179487179487,0.75,0.5843507657534138,0.5881970770475577,0.5862676128687435,0.5862676128687434,0.5342405361837703,0.4389027431421446,0.6087186665472194,0.6791666666666666,0.6857142857142857,0.6824247710423026,0.425,0.6719698905944824,"{'random_state': 42, 'n_estimators': 65, 'max_depth': 2}",chimera,iris
iris_menu_cfg13,0.75,0.7606837606837606,0.7487179487179487,0.75,0.5843507657534138,0.5881970770475577,0.5862676128687435,0.5862676128687434,0.5342405361837703,0.4389027431421446,0.6087186665472194,0.6791666666666666,0.6857142857142857,0.6824247710423026,0.425,0.791003942489624,"{'random_state': 42, 'n_estimators': 65, 'max_depth': 2}",menu,iris
iris_select_clusters_cfg14,0.85,0.6389906389906389,0.6280830280830281,0.6,0.6948226142609581,0.4935566402086891,0.5771462498118113,0.5771462498118113,0.4463077636653944,0.3835616438356164,0.5445100807792043,0.780952380952381,0.5571428571428572,0.6503304524656838,0.5175,0.806687593460083,"{'random_state': 42, 'n_estimators': 70, 'max_depth': 4}",select_clusters,iris
